,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Carlos Arroyo,40.0,7,14,2,6,7,8,2,4,5,1,0,4,4,23,puerto rico,2004-08-26,italy,2004082634,Quarter-Finals,L
1,Larry Ayuso,35.0,8,17,5,12,3,4,1,5,0,3,0,2,2,24,puerto rico,2004-08-26,italy,2004082634,Quarter-Finals,L
2,Piculin Ortiz,27.0,3,7,0,0,0,2,1,8,0,0,0,3,3,6,puerto rico,2004-08-26,italy,2004082634,Quarter-Finals,L
3,Daniel Santiago,26.0,3,7,0,0,2,4,2,6,0,1,0,2,5,8,puerto rico,2004-08-26,italy,2004082634,Quarter-Finals,L
4,Sharif Fajardo,24.0,1,4,0,0,2,4,4,6,0,2,0,0,4,4,puerto rico,2004-08-26,italy,2004082634,Quarter-Finals,L
5,Rolando Hourruitiner,22.0,1,4,0,2,0,0,1,1,0,1,1,0,2,2,puerto rico,2004-08-26,italy,2004082634,Quarter-Finals,L
6,Eddie Casiano,20.0,0,8,0,5,3,3,0,1,1,1,0,3,3,3,puerto rico,2004-08-26,italy,2004082634,Quarter-Finals,L
7,Bobby Joe Hatton,3.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,puerto rico,2004-08-26,italy,2004082634,Quarter-Finals,L
8,Peter John Ramos,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,puerto rico,2004-08-26,italy,2004082634,Quarter-Finals,L
9,Totals,,23,61,7,25,17,25,11,31,6,9,1,15,24,70,puerto rico,2004-08-26,italy,2004082634,Quarter-Finals,L
0,Massimo Bulleri,30.0,6,11,1,3,7,9,1,2,1,1,0,3,3,20,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
1,Denis Marconato,29.0,6,8,0,0,3,3,2,12,0,1,0,0,1,15,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
2,Gianluca Basile,27.0,4,8,2,5,8,8,0,3,0,0,0,3,3,18,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
3,Matteo Soragna,26.0,1,2,0,0,0,0,1,4,3,0,1,1,2,2,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
4,Giacomo Galanda,22.0,1,6,1,4,0,0,2,4,1,3,0,1,2,3,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
5,Luca Garri,21.0,3,6,1,3,1,2,0,3,0,0,0,1,4,8,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
6,Gianmarco Pozzecco,20.0,2,6,0,0,4,4,1,3,6,1,0,3,2,8,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
7,Alex Righetti,9.0,2,3,0,1,1,1,0,0,1,0,0,0,3,5,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
8,Roberto Chiacig,9.0,1,5,0,0,2,4,2,3,0,0,0,0,1,4,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
9,Nikola Radulovic,7.0,0,2,0,1,0,0,0,2,0,0,0,2,3,0,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
10,Totals,,26,57,5,17,26,31,9,36,12,6,1,14,24,83,italy,2004-08-26,puerto rico,2004082634,Quarter-Finals,L
